Earthquake catalog from the bulletin of National Seismological Center, Department of Mines and Geology, Kathmandu, Nepal.

(Date in AD and time in UTC)

     Date        Time      Latitude     Longitude    Magnitude    Epicenter

2021-04-05      15:19      26.75        89.09         5.8          Binnaguri, India
2021-03-18      04:20      27.5        85.63         4.1          Kavrepalanchok
2021-03-03      12:58      27.79        86.35         4.2          Dolakha
2021-02-09      01:50      27.89        87.91         5.4          Taplejung
2021-02-04      22:13      27.78        88.15         4.5          Taplejung
2021-02-02      16:14      28.78        84.10         5.3          Manang
2021-01-14      11:40      27.66        86.18         4.0          Dolakha
2021-01-12      04:03      29.89        80.70         4.2          Darchula
2021-01-03      04:59      27.66        87.62         4.4          Taplejung
2020-12-29      20:04      27.66        86.34         4.6          Ramechhap
2020-12-08      13:23      27.77        87.86         4.2          Taplejung
2020-12-02      07:57      27.75        85.87         4.2          Sindhupalchok
2020-11-08      21:44      27.73        87.87         4.9          Taplejung
2020-10-28      18:34      29.58        80.81         4.2          Bajhang
2020-10-24      10:32      27.62        86.24         4.0          Dolakha
2020-09-15      23:34      27.77        85.88         6.0          Sindhupalchowk
2020-09-11      03:45      26.76        88.21         5.0          Nepal India  Border
2020-09-09      10:03      27.92        84.94         4.0          Dhading
2020-09-04      01:35      27.58        87.19         4.0          Sankhuwasabha
2020-08-25      15:24      29.59        80.89         4.7          Bajhang
2020-08-15      10:22      27.8        87.62         4.2          Sankhuwasabha
2020-06-16      04:08      27.88        86.20         4.1          Dolakha
2020-05-30      15:51      27.85        84.93         4.8          Dhading
2020-05-26      10:15      29.73        82.01         4.2          Humla/Mugu
2020-05-12      18:08      27.65        86.15         5.3          Dolakha
2020-04-15      19:10      27.55        86.59         4.7          Solukhumbu
2020-04-02      15:10      29.58        80.96         4.0          Bajhang
2020-03-25      12:51      28.01        84.97         4.0          Dhading
2020-03-15      15:00      28.34        83.80         5.0          Kaski
2020-03-04      13:32      27.79        86.18         4.3          Dolakha
2020-02-19      15:28      29.71        81.69         4.3          Bajura/Humla
2020-01-28      02:14      29.61        81.71         4.2          Bajura
2020-01-12      20:22      29.59        81.73         4.2          Bajura
2020-01-12      14:34      29.58        81.71         4.5          Bajura
2019-12-12      13:26      27.95        85.59         4.8          Sindhupalchowk
2019-11-27      16:23      27.79        85.79         5.0          Sindhupalchowk
2019-11-19      13:30      29.42        81.10         5.7          Bajhang
2019-11-12      02:00      30.20        80.10         4.6          India
